lon,lat
-8.831561812160309444e+01,4.197400090447044363e+01
-8.831532764727450058e+01,4.197399488436512627e+01
-8.831489851106275069e+01,4.197393956077868893e+01
-8.831449257088593185e+01,4.197382238471476512e+01
-8.831424593884243279e+01,4.197370789685384551e+01
-8.831391778794710490e+01,4.197349413052122458e+01
-8.831362758134120838e+01,4.197325136787243594e+01
-8.831271425434727007e+01,4.197240776185246602e+01
-8.831248010466764242e+01,4.197213343140692388e+01
-8.831214790825058003e+01,4.197165109360748403e+01
-8.831191842038430195e+01,4.197137476784682519e+01
-8.831163148934545859e+01,4.197113011829276275e+01
-8.831119114577847995e+01,4.197084726854365044e+01
-8.831083458296429001e+01,4.197066005162027125e+01
-8.831033525125903338e+01,4.197043799822728971e+01
-8.830903026252804011e+01,4.196996060506538129e+01
-8.830800378740882195e+01,4.196955298035700110e+01
-8.830733599969924796e+01,4.196933976574435832e+01
-8.830677937889919349e+01,4.196921512442830959e+01
-8.830620793654631484e+01,4.196913635769701756e+01
-8.830504822157631395e+01,4.196907661487890095e+01
-8.830433254932523823e+01,4.196898367019345955e+01
-8.830404252383287655e+01,4.196897103297602882e+01
-8.830346144975348466e+01,4.196898410346533126e+01
-8.830288163228823350e+01,4.196901579786191405e+01
-8.830215949698477118e+01,4.196907656244255946e+01
-8.830144065802539899e+01,4.196915626538849864e+01
-8.830058285806654794e+01,4.196927349587918599e+01
-8.829973120845919254e+01,4.196941350762515555e+01
-8.829734033258390014e+01,4.196987712789555758e+01
-8.829693432313766266e+01,4.196999542471430544e+01
-8.829654620706052981e+01,4.197014351144698452e+01
-8.829592143361391265e+01,4.197042055903913393e+01
-8.829569576170371192e+01,4.197055603201791030e+01
-8.829540527237224978e+01,4.197093123420126659e+01
-8.829497909649121823e+01,4.197137032316065586e+01
-8.829482407200563898e+01,4.197155377846231517e+01
-8.829468903978693106e+01,4.197174584204449133e+01
-8.829452235508851743e+01,4.197204639312052876e+01
-8.829374258554234700e+01,4.197402320307828205e+01
-8.829355258385061234e+01,4.197454667363084013e+01
-8.829338304234514112e+01,4.197518476147556754e+01
-8.829334227086381759e+01,4.197561721003338420e+01
-8.829336127791009403e+01,4.197583356790455866e+01
-8.829341766287154769e+01,4.197604624397877160e+01
-8.829363336643869786e+01,4.197656409811794731e+01
-8.829374002209436867e+01,4.197687952427702385e+01
-8.829381271493666361e+01,4.197720032341199925e+01
-8.829385970951609863e+01,4.197752381278256451e+01
-8.829395290044763556e+01,4.197882354295972362e+01
-8.829394696377870844e+01,4.197904026709386471e+01
-8.829388546636349133e+01,4.197925180853761873e+01
-8.829369874545649566e+01,4.197954544988733971e+01
-8.829367638270674945e+01,4.197965161331171657e+01
-8.829377216800752137e+01,4.198007920745065746e+01
-8.829424900230260675e+01,4.198166686998707320e+01
-8.829432667006192048e+01,4.198198696454106482e+01
-8.829434896197417970e+01,4.198231161773534836e+01
-8.829425753284205314e+01,4.198295862142026635e+01
-8.829424361911290475e+01,4.198317522555608861e+01
-8.829427480011139551e+01,4.198349958113222158e+01
-8.829439273745059324e+01,4.198403422260665963e+01
-8.829436279284409750e+01,4.198435856551879652e+01
-8.829439069017124098e+01,4.198446384498400619e+01
-8.829474066692475276e+01,4.198505993783247447e+01
-8.829488108227155863e+01,4.198536784677916245e+01
-8.829497398124414076e+01,4.198568567806606922e+01
-8.829517625969999983e+01,4.198654014717908467e+01
-8.829521145154627959e+01,4.198675543505417807e+01
-8.829521610559542921e+01,4.198697220966762700e+01
-8.829514984241176023e+01,4.198729334179789419e+01
-8.829501707519300169e+01,4.198760311495234276e+01
-8.829469566024791050e+01,4.198820791643856154e+01
-8.829452237672630588e+01,4.198873444579091796e+01
-8.829428896686911798e+01,4.198924802588395977e+01
-8.829406871553216263e+01,4.199009842268807091e+01
-8.829426047961813140e+01,4.199039006229876492e+01
-8.829433387953592671e+01,4.199059929342807607e+01
-8.829433388996100973e+01,4.199124954929120435e+01
-8.829437942199933786e+01,4.199168202095591340e+01
-8.829455785841030035e+01,4.199286759721918827e+01
-8.829472044244896267e+01,4.199339612207111117e+01
-8.829476006996073068e+01,4.199361090342788572e+01
-8.829475736800669949e+01,4.199382763425601439e+01
-8.829470525311708684e+01,4.199425961915351024e+01
-8.829469165667363484e+01,4.199480181739812679e+01
-8.829465537856361834e+01,4.199512594599175941e+01
-8.829471271401172316e+01,4.199522221336776084e+01
-8.829491393736176974e+01,4.199537879770927873e+01
-8.829509579430190058e+01,4.199554780219131800e+01
-8.829533023149814142e+01,4.199567463890088703e+01
-8.829542147657463147e+01,4.199575856513862249e+01
-8.829547496637047743e+01,4.199585898618858693e+01
-8.829548582062554374e+01,4.199596674025525544e+01
-8.829545304884878476e+01,4.199607199647846301e+01
-8.829537964075987588e+01,4.199616515184066401e+01
-8.829527229359281648e+01,4.199623770730349293e+01
-8.829514080111614760e+01,4.199628304323627503e+01
-8.829499716009858901e+01,4.199629702338181403e+01
-8.829485447574320744e+01,4.199627837224726790e+01
-8.829472576596937472e+01,4.199622879148112986e+01
-8.829462277365924194e+01,4.199615280461589606e+01
-8.829455489525805945e+01,4.199605734434409499e+01
-8.829448176987470731e+01,4.199584845102597086e+01
-8.829439914965973912e+01,4.199575958664281927e+01
-8.829410489882029367e+01,4.199551970419870628e+01
-8.829402727019670749e+01,4.199542808513849224e+01
-8.829397128152568541e+01,4.199532810952874939e+01
-8.829394007469740302e+01,4.199522227525153539e+01
-8.829393079533936373e+01,4.199511409438941456e+01
-8.829397410123019085e+01,4.199468160791283822e+01
-8.829398752795219707e+01,4.199413940377456100e+01
-8.829404008793009950e+01,4.199370744937458255e+01
-8.829403117703989778e+01,4.199359925184280229e+01
-8.829382327713038592e+01,4.199285646879860678e+01
-8.829364952823749491e+01,4.199167043729647020e+01
-8.829360857580390132e+01,4.199123771058460619e+01
-8.829361870998432948e+01,4.199069562100095965e+01
-8.829358761292220947e+01,4.199059032646261613e+01
-8.829339389299212826e+01,4.199029913703756023e+01
-8.829335599029685966e+01,4.199019452401295638e+01
-8.829334303785313409e+01,4.199008659756473349e+01
-8.829335297919129744e+01,4.198997845598528045e+01
-8.829358139007511852e+01,4.198912841727893408e+01
-8.829385521713888352e+01,4.198851064326814964e+01
-8.829403119059982430e+01,4.198798472543240479e+01
-8.829440285725250703e+01,4.198727812072542065e+01
-8.829447398139916459e+01,4.198706794316746738e+01
-8.829449349975519112e+01,4.198685189828051989e+01
-8.829446341096397077e+01,4.198663624754587431e+01
-8.829420289158898072e+01,4.198556927267151906e+01
-8.829406798724974692e+01,4.198526011444547379e+01
-8.829371801137614284e+01,4.198466402065534453e+01
-8.829364348997323475e+01,4.198445497282676087e+01
-8.829366609303860969e+01,4.198402238940970221e+01
-8.829356151633218985e+01,4.198359570453855838e+01
-8.829351941883091115e+01,4.198316331831006920e+01
-8.829353189818306191e+01,4.198294663398243642e+01
-8.829361600235270657e+01,4.198240796684419962e+01
-8.829361275399202214e+01,4.198208315046063177e+01
-8.829353571288184810e+01,4.198176302476782240e+01
-8.829305932460781037e+01,4.198017528967879031e+01
-8.829295960642078001e+01,4.197974798620188608e+01
-8.829296045945352489e+01,4.197953147835473686e+01
-8.829298886082243314e+01,4.197942518383059252e+01
-8.829317117699129369e+01,4.197913033138038230e+01
-8.829321827120902810e+01,4.197902797156190502e+01
-8.829323104688886303e+01,4.197892006494391381e+01
-8.829313133202168729e+01,4.197751205769720428e+01
-8.829307894159860837e+01,4.197718904506670867e+01
-8.829299487081064512e+01,4.197686983837418495e+01
-8.829274053561839253e+01,4.197624742900045192e+01
-8.829267220850886133e+01,4.197603662108775779e+01
-8.829263129362314544e+01,4.197582193175916387e+01
-8.829261804350191767e+01,4.197560527873303471e+01
-8.829262752188903107e+01,4.197538849225017543e+01
-8.829267435449504831e+01,4.197506503763376173e+01
-8.829284625292258681e+01,4.197442723878349113e+01
-8.829303522953273387e+01,4.197390356069318784e+01
-8.829345564336995267e+01,4.197286521021464978e+01
-8.829381193708384501e+01,4.197192601778298382e+01
-8.829396869840790885e+01,4.197162245868570807e+01
-8.829416140861597739e+01,4.197133067537470907e+01
-8.829439152820992831e+01,4.197105442143804055e+01
-8.829473779839126735e+01,4.197070593135586591e+01
-8.829510763627992276e+01,4.197023980271671917e+01
-8.829520280097860052e+01,4.197015788386303115e+01
-8.829542496831784604e+01,4.197001842272369743e+01
-8.829629769442512099e+01,4.196962846089217436e+01
-8.829682320228435799e+01,4.196944335714855612e+01
-8.829737443067955383e+01,4.196930627331886399e+01
-8.829808241941336178e+01,4.196918409991309318e+01
-8.829892218542019577e+01,4.196900854989772967e+01
-8.829976864823834148e+01,4.196885200544942762e+01
-8.830062172526434949e+01,4.196871694036136802e+01
-8.830133708753622557e+01,4.196862139663964797e+01
-8.830220009043190998e+01,4.196852787816265362e+01
-8.830306760785785514e+01,4.196846184543733216e+01
